t/s;Fehler t;T1/c;Fehler T1;P1/bar;Fehler P1;T2/c;Fehler T2;P2/bar;Fehler P2;N/W;Fehler N;
60;5;24.5;0.1;7.5;0.5;22.3;0.1;2.8;0.2;175;5;
120;5;25.2;0.1;7.8;0.5;21.8;0.1;2.9;0.2;180;5;
180;5;26.4;0.1;8;0.5;20.8;0.1;3;0.2;190;5;
240;5;28.1;0.1;8.5;0.5;19.1;0.1;3.2;0.2;195;5;
300;5;29.8;0.1;8.8;0.5;17.3;0.1;3.2;0.2;200;5;
360;5;31.8;0.1;9.2;0.5;15.6;0.1;3.2;0.2;200;5;
420;5;33.5;0.1;9.5;0.5;14;0.1;3.2;0.2;205;5;
480;5;35.3;0.1;10;0.5;12.3;0.1;3.2;0.2;205;5;
540;5;37.1;0.1;10.1;0.5;10.5;0.1;3.2;0,2;205;5;
600;5;38.7;0.1;10.5;0.5;9.1;0.1;3.2;0.2;205;5;
660;5;40.2;0.1;10.9;0.5;7.6;0.1;3.2;0.2;205;5;
720;5;41.8;0.1;11.2;0.5;6.1;0.1;3.2;0.2;210;5;
780;5;43.3;0.1;11.5;0.5;4.7;0.1;3.2;0.2;210;5;
840;5;44.9;0.1;12;0.5;3.2;0.1;3.2;0.2;215;5;
900;5;46.4;0.1;12.5;0.5;2.1;0.1;3.3;0.2;215;5;
960;5;47.8;0.1;12.8;0.5;1.4;0.1;3.3;0.2;215;5;
1020;5;49.1;0.1;13.1;0.5;0.8;0.1;3.3;0.2;215;5;
1080;5;50.4;0.1;13.5;0.5;0.3;0.1;3.3;0.2;215;5;